State,Policy
Nevada,"Nevada's EV charging infrastructure development benefits from state policies supporting clean energy, tourism needs, and its NEVI allocation (approx. $38 million FY22-26). The Nevada Department of Transportation (NDOT) manages the NEVI plan focusing on AFCs connecting major population centers (Las Vegas, Reno) and enabling travel across the state (e.g., I-80, I-15, US-95). Utility NV Energy plays a significant role through state-approved programs investing in charging infrastructure across various sectors (public, residential, commercial, fleet) and offering EV rates.

Nevada does not currently offer statewide EV purchase rebates, but has supportive policies like reduced electricity rates for EV charging via NV Energy programs. State legislation has also supported utility investment in electrification. The state's strong tourism industry creates demand for charging at hotels, casinos, and attractions, driving some private investment alongside utility and NEVI-funded projects.

Future plans involve deploying NEVI funds (pending federal clarity), continued buildout through NV Energy's programs, and supporting electrification in the tourism sector. Challenges include ensuring coverage across vast desert and rural areas, managing grid impacts particularly from large-scale fast charging in hot climates, ensuring equitable access, and coordinating state, utility, and private investments."
New Hampshire,"New Hampshire's EV charging infrastructure growth is supported by state initiatives utilizing settlement funds (e.g., VW), utility programs, and its NEVI allocation (approx. $17 million FY22-26). The NH Department of Transportation manages the NEVI plan for AFCs. The NH Department of Environmental Services administers grants for charging stations, often funded by VW settlement money. Utilities like Eversource, Unitil, and Liberty Utilities offer residential and commercial charger rebates and manage charging rates.

New Hampshire does not offer statewide EV purchase rebates. Incentives are primarily for charging infrastructure through state grant programs and utility rebates. State policy supports energy efficiency and has enabled utility programs, but lacks strong mandates for EV adoption or widespread charging deployment compared to neighboring states like MA or VT. The February 2025 NEVI program suspension impacts a key funding source for highway corridor charging.

Future plans involve deploying NEVI funds (pending federal clarity) and continuing state/utility grant and rebate programs. Challenges include expanding charging access beyond the more populated southern tier into northern rural and tourist areas, stimulating adoption without state vehicle incentives, ensuring coordination between state agencies and multiple utilities, and managing grid impacts, particularly during peak seasons."
New Jersey,"New Jersey is aggressively promoting EV adoption and infrastructure through strong state policies, incentives, and its NEVI allocation (approx. $104 million FY22-26). The state has ambitious goals (e.g., reaching EV registration targets, electrifying state fleet) outlined in its Energy Master Plan. The NJ Board of Public Utilities (BPU) and Department of Environmental Protection (DEP) oversee numerous programs, including charger deployment initiatives targeting highways, communities, MUDs, and workplaces. Utilities (PSE&G, JCP&L, ACE, Rockland Electric) are actively involved with make-ready programs and charger incentives.

New Jersey offers attractive incentives, including a point-of-sale rebate (Charge Up New Jersey program) for purchasing or leasing new EVs (up to $4,000, subject to funding availability and vehicle price caps) and a sales tax exemption for ZEVs. Charger incentives are available through state programs and utilities. Legislation mandates increasing levels of EV readiness in new construction and supports utility investment in charging infrastructure.

Future plans involve continued rapid deployment leveraging state funds, utility programs, and NEVI (pending federal clarity) to meet state goals. Focus areas include ensuring equitable access, supporting MUD charging, managing grid impacts in a densely populated state, and maintaining robust incentive programs. Challenges include sustaining funding for popular rebates, streamlining permitting, ensuring grid capacity keeps pace, and achieving equity goals effectively."
New Mexico,"New Mexico is developing its EV charging infrastructure leveraging state clean energy goals, utility actions, and its NEVI allocation (approx. $38 million FY22-26). The New Mexico Department of Transportation (NMDOT) manages the NEVI plan focusing on designated AFCs across the state. Utilities like PNM (Public Service Company of New Mexico) and El Paso Electric offer programs including residential charger rebates, special EV rates, and potentially support for public charging initiatives.

New Mexico offers state income tax credits for purchasing EVs (up to $2,000) and for installing EV chargers (50% of cost, up to $5,000), providing significant support for adoption. State policy supports renewable energy development and clean transportation as part of broader climate action plans. The February 2025 NEVI suspension introduces uncertainty for the federally funded portion of the state's charging strategy.

Future plans involve deploying NEVI funds (pending federal clarity) and utilizing state tax credits and utility programs to expand charging access. Key challenges include ensuring adequate coverage across large rural areas with low population density, stimulating adoption beyond early adopters, potential grid constraints in certain regions, coordinating efforts between state agencies and multiple utilities (including cooperatives), and navigating federal funding uncertainty."
New York,"New York strongly promotes EV adoption and charging infrastructure through ambitious state goals (e.g., 100% ZEV sales by 2035), significant state funding programs (e.g., EVolve NY - $250M for DCFC), and its large NEVI allocation ($175 million FY22-26). NYSERDA, NYPA, NYSDEC, and NYSDOT coordinate efforts, targeting highway corridors, urban areas (especially NYC's aggressive plan for curbside/municipal lot charging), workplaces, and MUDs. Utilities (ConEd, National Grid, NYSEG, RG&E, etc.) run major programs like make-ready initiatives and charger rebates (e.g., Charge Ready NY).

New York offers a Drive Clean Rebate (up to $2,000) for vehicle purchases/leases and numerous incentives for charger installations via NYSERDA and utilities. Legislation supports EV readiness in buildings (with recent proposals for flexible compliance like power-based allocation) and utility investments. The state committed substantial additional funding ($60M announced Feb 2025) for charging, showcasing state-level commitment potentially buffering federal uncertainty.

Future plans focus on rapid scaling to meet ZEV mandates, deploying NEVI (pending federal clarity) and state funds equitably, enhancing grid integration, and implementing innovative solutions like curbside charging. Challenges include scaling infrastructure in dense urban areas, upgrading the grid, ensuring equitable access (especially for MUDs and lower-income communities), streamlining permitting, and coordinating complex state/utility/private efforts."
North Carolina,"North Carolina is growing its EV charging network supported by state goals outlined in executive orders (e.g., aiming for 1.25 million ZEVs by 2030), utility programs, and its NEVI allocation (approx. $109 million FY22-26). The NC Department of Transportation (NCDOT) manages the NEVI plan for AFCs. Duke Energy, the state's dominant utility, plays a major role through large-scale programs offering rebates for residential, public, fleet, and MUD charging installations, make-ready infrastructure investments, and managing grid impacts.

North Carolina does not currently offer a statewide EV purchase rebate, relying on federal credits and substantial utility incentives from Duke Energy and electric cooperatives. State policy encourages ZEV adoption and infrastructure development, leveraging VW settlement funds and federal grants. The state aims to ensure charging access supports both residents and tourism along its coasts and mountains.

Future plans involve deploying NEVI funds (pending federal clarity) to build out highway corridors and continued expansion through Duke Energy's multi-year programs. Challenges include ensuring equitable deployment in rural areas and underserved communities, managing grid upgrades across a large state, potentially re-introducing state-level incentives to accelerate adoption, and coordinating efforts between NCDOT, utilities, and local governments."
North Dakota,"North Dakota's EV charging infrastructure is in its early stages, primarily relying on its NEVI allocation (approx. $26 million FY22-26) to build a foundational network along its main Interstate corridors (I-94, I-29). The North Dakota Department of Transportation (NDDOT) manages this plan. Given the state's rural nature and low initial EV adoption, private investment is limited, making federal funding crucial. Utility support may be available through specific programs but is less widespread than in more populated states.

North Dakota does not offer statewide EV purchase or charging incentives. State policy focuses on administering the NEVI program. Key challenges include the vast distances, sparse population impacting charger economics, extreme winter weather conditions, limited grid capacity in some rural areas, low current EV adoption rates, and the significant uncertainty created by the February 2025 suspension of the NEVI program.

Future plans for a connected charging network depend almost entirely on the continuation and structure of the NEVI program. Overcoming the state's geographic and demographic challenges to build and sustain a charging network will require targeted strategies and potentially ongoing support beyond initial installation."
Ohio,"Ohio is developing its EV charging infrastructure with a significant NEVI allocation ($140 million FY22-26) and growing interest from the automotive sector. The Ohio Department of Transportation (ODOT) manages the NEVI plan (""""NEVI Ohio"""") for AFCs. Recent state legislation clarified the role of utilities, generally prohibiting direct ownership/operation of public chargers by electric distribution utilities (EDUs) except through separate unregulated affiliates or in designated rural ""areas of last resort"" under specific conditions, aiming to foster a competitive private market. Utilities like AEP Ohio and Duke Energy Ohio offer programs supporting EV charging.

Ohio does not offer statewide EV purchase incentives. Incentives primarily come from utility programs offering rebates for chargers or special rates. The state's regulatory framework attempts to balance utility involvement with private market growth. The February 2025 NEVI program suspension poses a significant challenge, as Ohio was relying heavily on these funds; analysis suggested the pause jeopardized over $400M in NEVI funds and thousands of jobs across the Ohio River Valley (OH, KY, PA, WV).

Future plans hinge on the resolution of the NEVI suspension and the ability of the private market, supported by utility programs and the state's regulatory structure, to build out the network. Challenges include the uncertainty of federal funding, stimulating adoption without state vehicle incentives, ensuring equitable deployment beyond highways, managing grid upgrades, and making the private market model viable across the state."
Oklahoma,"Oklahoma is building its EV charging network primarily using its NEVI allocation (approx. $66 million FY22-26) to deploy DC fast chargers along its designated Interstate corridors (I-35, I-40, I-44). The Oklahoma Department of Transportation (ODOT) oversees this plan, likely partnering with private entities. Utilities like OG&E (Oklahoma Gas & Electric) and PSO (Public Service Company of Oklahoma) offer programs such as residential charger rebates and time-of-use rates to support EV adoption.

Oklahoma does not offer statewide EV purchase rebates, but provides a state tax credit for installing EV charging stations (details may vary). State policy focuses on leveraging federal NEVI funds for highway infrastructure. The February 2025 suspension of the NEVI program creates uncertainty for the timely completion of Oklahoma's planned corridor network.

Future plans depend significantly on the NEVI program's status. Challenges include expanding charging access into rural areas off the main Interstates, increasing EV adoption rates without strong state vehicle incentives, ensuring the reliability and economic viability of chargers, managing grid capacity, and navigating the federal funding landscape."
Oregon,"Oregon has strong ZEV adoption goals (aligned with California), supportive state policies, and a relatively mature charging network, further supported by its NEVI allocation (approx. $52 million FY22-26). The Oregon Department of Transportation (ODOT) manages NEVI deployment along AFCs. State programs administered by the Department of Environmental Quality (DEQ) offer rebates for vehicle purchases and charger installations. Utilities like Portland General Electric (PGE) and Pacific Power are heavily involved, investing in public charging infrastructure, offering various rebates, and managing grid integration.

Oregon offers the Charge Ahead Rebate for purchasing/leasing new or used EVs (up to $7,500 income-dependent) and the Standard Rebate (up to $2,500). Additional rebates exist for charger installations through state and utility programs. Oregon adopted California's ZEV regulations and Advanced Clean Cars II, mandating increasing ZEV sales towards 100% by 2035. State policy strongly supports transportation electrification and grid modernization.

Future plans involve deploying NEVI funds (pending federal clarity), continued expansion through state/utility programs to meet ZEV mandates, focusing on equity, reliability, and supporting medium/heavy-duty electrification. Challenges include ensuring equitable access across diverse geography (coast, valley, high desert), managing grid impacts, sustaining funding for popular rebate programs, and streamlining permitting, particularly for DCFC."
Pennsylvania,"Pennsylvania is advancing its EV charging network with a large NEVI allocation (approx. $171.5 million FY22-26) and engagement from utilities and state agencies. PennDOT manages the NEVI plan focused on building out AFCs across the state, including rural and mountainous regions. The PA Department of Environmental Protection (DEP) offers grants for Level 2 charging installations through programs like the Driving PA Forward Initiative (using VW settlement funds). Utilities (e.g., PECO, PPL Electric Utilities, Duquesne Light) provide rebates for chargers and support grid readiness.

Pennsylvania offers rebates for purchasing alternative fuel vehicles, including EVs, though amounts and eligibility criteria can vary based on program funding cycles. Utility programs provide significant incentives for charger installations. State policy supports reducing transportation emissions and leveraging federal funds like NEVI. The February 2025 NEVI program suspension creates uncertainty, particularly given the large allocation Pennsylvania received.

Future plans focus on deploying NEVI funds (pending federal clarity) to ensure connectivity across the state's extensive highway network and continuing state/utility grant programs. Challenges include the uncertainty of federal funding, ensuring equitable access across diverse urban, suburban, and vast rural areas, managing grid upgrades, coordinating efforts among numerous stakeholders, and potentially strengthening state incentives to accelerate adoption."
Rhode Island,"Rhode Island is actively promoting EV adoption and infrastructure, leveraging state initiatives, utility programs, and its NEVI allocation (approx. $23 million FY22-26). The RI Office of Energy Resources (OER) and RI Department of Transportation (RIDOT) coordinate efforts, including NEVI deployment on key corridors. Rhode Island Energy (formerly National Grid) runs programs offering rebates for residential, multi-unit dwelling, workplace, and public charging installations, alongside managing EV rates and grid integration.

Rhode Island offers the DRIVE EV rebate program for purchasing or leasing new or used EVs (income-eligible structure). Additional incentives for charger installations are available through OER programs and Rhode Island Energy. State policy aligns with regional climate goals, supporting transportation electrification through incentives, infrastructure investment, and potentially adopting stronger vehicle standards.

Future plans involve deploying NEVI funds (pending federal clarity), continuing state/utility rebate programs, expanding charging access (especially for environmental justice communities and MUDs), and supporting fleet electrification. Challenges include managing grid impacts in a geographically small but densely populated state, ensuring equitable access, sustaining funding for state rebate programs, and coordinating regional charging network consistency."
South Carolina,"South Carolina is building its EV charging network primarily using its NEVI allocation (approx. $70 million FY22-26) to deploy DC fast chargers along its designated Interstate corridors (I-95, I-26, I-20, I-77, I-85). The South Carolina Department of Transportation (SCDOT) manages this plan, partnering with private entities. Utilities like Duke Energy and Dominion Energy South Carolina offer programs including residential charger rebates and time-of-use rates, providing key support beyond the highway corridors.

South Carolina does not offer statewide EV purchase incentives. State policy focuses on utilizing federal NEVI funds and supporting utility initiatives. The February 2025 suspension of the NEVI program introduces uncertainty for the state's primary infrastructure funding source. Growth depends significantly on continued utility investment and potential private sector interest driven by factors like tourism and interstate travel.

Future plans are heavily dependent on the status of the NEVI program. Key challenges include the uncertainty of federal funding, expanding charging access into rural areas and underserved communities, stimulating EV adoption without state vehicle incentives, ensuring charger reliability, and coordinating grid upgrades to support increased demand."
South Dakota,"South Dakota's EV charging infrastructure development relies almost exclusively on its NEVI allocation (approx. $30 million FY22-26) to build a basic network along its Interstate corridors (I-90, I-29). The South Dakota Department of Transportation (SDDOT) manages this plan. Due to the state's rural character, low population density, and low initial EV adoption, private investment and utility program support are likely minimal outside of potentially Sioux Falls or Rapid City.

South Dakota does not offer statewide EV purchase or charging incentives. State policy focuses solely on administering the NEVI program. Significant challenges include vast distances, sparse population affecting charger economics, extreme weather, limited grid capacity in rural areas, low current EV uptake, and the critical uncertainty created by the February 2025 suspension of the NEVI program, which is the primary funding mechanism.

Future plans for a connected charging network are entirely contingent on the NEVI program's continuation and potential restructuring. Building and sustaining a viable charging network across South Dakota presents major logistical and economic hurdles without strong federal support or future state action."
Tennessee,"Tennessee is developing its EV charging infrastructure supported by its NEVI allocation (approx. $88 million FY22-26), significant automotive industry investment (including EV manufacturing), and utility programs. The Tennessee Department of Transportation (TDOT) manages the NEVI plan (""""Drive Electric Tennessee"""") for AFCs. The Tennessee Valley Authority (TVA), working with local power companies across the state, plays a crucial role through initiatives like the Fast Charge Network aiming to place fast chargers every 50 miles along major corridors, complementing NEVI efforts and offering various support programs.

Tennessee does not currently offer statewide EV purchase rebates, but benefits from significant EV industry presence. Incentives primarily come through TVA and local power companies, offering support for charger installations or potentially special rates. State policy focuses on leveraging federal funds, supporting the automotive sector's transition, and partnering with TVA for infrastructure deployment.

Future plans involve deploying NEVI funds (pending federal clarity) and continuing the TVA-led Fast Charge Network expansion. Challenges include ensuring equitable access across diverse geography (urban centers, Appalachian regions, rural areas), managing grid upgrades, coordinating between TDOT, TVA, and numerous local power companies, and potentially considering state incentives to further boost adoption."
Texas,"Texas leads in NEVI allocation ($408 million FY22-26), reflecting its vast highway network. TxDOT manages the NEVI plan, aiming to deploy chargers along AFCs via private partners (no state funds used for install/ops), with a stated goal of targeting ~50% funds to rural areas to address historical concentration in urban centers. Other programs like TxVEMP (VW funds) and TERP offer grants for clean transportation projects, including charging. Utilities (e.g., Austin Energy, Entergy) offer significant rebates/incentives. The Feb 2025 NEVI suspension creates major uncertainty given the reliance on federal funds.

Texas lacks statewide vehicle purchase rebates, relying on federal credits and robust utility programs (e.g., Austin Energy up to $4k Level 2 / $10k DCFC rebates; Entergy $250 L2 incentive). State policy focuses on facilitating federally funded buildout and leveraging utility/private investment rather than strong mandates. The large scale of the state presents significant deployment challenges.

Future NEVI deployment is on hold pending federal guidance. Continued progress depends on utility programs and private investment. Key challenges include navigating federal funding uncertainty, bridging the vast urban/rural divide, ensuring charger reliability and affordability across diverse regions, potential grid constraints (especially during extreme weather), and stimulating adoption without statewide vehicle incentives."
Utah,"Utah is developing its EV charging infrastructure leveraging state goals for air quality improvement, utility actions, and its NEVI allocation (approx. $36 million FY22-26). The Utah Department of Transportation (UDOT) manages the NEVI plan for AFCs, including key Interstate routes. Rocky Mountain Power, the state's main utility, offers residential EV charger rebates and time-of-use rates, playing an important role in supporting adoption and infrastructure growth.

Utah does not offer statewide EV purchase incentives. State policy often focuses on air quality initiatives, which indirectly supports EVs. Incentives are primarily available through Rocky Mountain Power's programs. The February 2025 suspension of the NEVI program creates uncertainty for the federally funded portion of the charging network expansion.

Future plans involve deploying NEVI funds (pending federal clarity) and continued support through utility programs. Challenges include ensuring adequate charging coverage, particularly in rural southern and eastern Utah and near national parks to support tourism, managing grid impacts, increasing adoption rates without state vehicle incentives, and navigating federal funding uncertainty."
Vermont,"Vermont is a leader in EV adoption and infrastructure policy, driven by strong environmental goals, state incentives, and regional cooperation. The state utilizes its NEVI allocation (approx. $21 million FY22-26) alongside significant state funding (e.g., from VW settlement, state budget) managed by agencies like VTrans and the Department of Housing and Community Development. Utilities like Green Mountain Power (GMP) and Burlington Electric Department (BED) are highly active, offering extensive rebates for vehicles, chargers (often free or discounted), special rates, and innovative grid management programs (e.g., V2G pilots).

Vermont offers generous incentives for purchasing or leasing new and used EVs, often tiered by income, making EVs highly accessible. Utilities provide substantial additional rebates for chargers and manage programs promoting off-peak charging. State policy strongly supports transportation electrification, including EV readiness standards and goals aligned with climate action plans (e.g., Global Warming Solutions Act).

Future plans involve continued deployment using state, utility, and NEVI funds (pending federal clarity), focusing on expanding rural access, supporting MUD charging, enhancing grid integration, and meeting state climate targets. Challenges include managing grid impacts in a rural state, ensuring equity reaches all Vermonters, sustaining high levels of state/utility funding for incentives, and upgrading infrastructure in challenging terrain/weather."
Virginia,"Virginia is building its EV charging infrastructure supported by state legislation, utility programs, and its NEVI allocation (approx. $106 million FY22-26). The Virginia Department of Transportation (VDOT) manages the NEVI plan for AFCs. Legislation passed in recent years enabled large utility investments in charging infrastructure; Dominion Energy, Appalachian Power, and electric cooperatives have programs offering rebates for residential, commercial, and public charging, make-ready support, and grid upgrades.

Virginia previously offered an EV rebate program, but its funding and status can be subject to change based on budget cycles. Utilities provide significant incentives for charger installations. Virginia adopted California's clean car standards (including ZEV mandates), providing a strong policy driver for adoption, although the state's legislative stance on these standards can shift. State policy aims to leverage federal funds and utility investment.

Future plans involve deploying NEVI funds (pending federal clarity) and continued buildout through utility programs driven by state legislation. Challenges include ensuring stability in state policy direction (especially regarding clean car standards and rebate funding), expanding access equitably across diverse regions (urban Northern VA, rural Appalachia, coastal areas), managing grid integration, and coordinating state and utility efforts."
Washington,"Washington state is a leader in EV adoption, driven by strong state policies, climate goals (net-zero by 2050), and its NEVI allocation (approx. $71 million FY22-26). WSDOT manages NEVI deployment along AFCs. State legislation mandates that all new light-duty vehicles sold be ZEV starting in 2035. State agencies and utilities (e.g., Puget Sound Energy, Seattle City Light, Snohomish PUD) offer various programs and incentives for vehicles and charging infrastructure, often focusing on equity and grid integration. Private networks are also well-established.

Washington offers exemptions from state sales and use tax for new and used EVs (subject to price caps), a significant incentive. Utilities provide rebates for residential, workplace, and public charger installations and offer EV rates. State policy strongly supports electrification through ZEV mandates, building codes requiring EV readiness, clean fuel standards, and investments in ferry electrification.

Future plans focus on deploying NEVI funds (pending federal clarity), scaling infrastructure rapidly to meet the 2035 ZEV mandate, ensuring equitable access statewide, managing grid impacts (especially with hydro reliance), and continuing ferry/fleet electrification. Challenges include ensuring adequate charging in eastern Washington and rural areas, managing grid capacity and modernization, coordinating diverse utility programs, and potentially addressing future declines in gas tax revenue."
West Virginia,"West Virginia's EV charging infrastructure development relies heavily on its NEVI allocation (approx. $46 million FY22-26) to build a network along its challenging mountainous Interstate corridors. The West Virginia Department of Transportation (WVDOT) manages this plan. Given the state's terrain, limited existing infrastructure, and lower initial EV adoption, private investment is likely minimal, making federal funding critical. Utility support (e.g., Appalachian Power, Mon Power) may offer some programs but likely less extensive than in states with stronger policy drivers.

West Virginia does not offer statewide EV purchase or charging incentives beyond potential utility programs. State policy focuses on administering the NEVI program. Significant challenges include the difficult terrain impacting installation costs, low population density affecting charger economics, limited grid capacity in some areas, low current EV adoption rates, and the critical uncertainty created by the February 2025 suspension of the NEVI program.

Future plans for a connected charging network are almost entirely dependent on the NEVI program's continuation. Building and sustaining infrastructure across West Virginia's mountainous landscape requires significant investment and overcoming logistical hurdles, which is difficult without robust federal support or future state action."
Wisconsin,"Wisconsin is developing its EV charging infrastructure using its NEVI allocation (approx. $79 million FY22-26) to build out DC fast chargers along designated AFCs (Interstates and key US highways). The Wisconsin Department of Transportation (WisDOT) manages this plan, partnering with private entities. Utilities like We Energies, Alliant Energy, Madison Gas and Electric (MGE), and Xcel Energy play a key role, offering residential/commercial charger rebates, special EV rates, and investing in public charging pilots or programs.

Wisconsin does not offer statewide EV purchase incentives. Incentives primarily come from utility programs. State policy focuses on leveraging federal NEVI funds and supporting utility initiatives in beneficial electrification. The February 2025 suspension of the NEVI program creates uncertainty for the completion of the state's planned highway charging network.

Future plans depend significantly on the status of the NEVI program. Continued utility investment will be crucial for expanding charging access beyond highways. Challenges include the uncertainty of federal funding, stimulating adoption without state vehicle incentives, ensuring equitable deployment in urban centers and rural areas, managing grid integration (particularly coordinating with numerous utilities), and ensuring charger reliability, especially in cold weather."
Wyoming,"Wyoming's EV charging strategy is dictated by its vast size, extremely low population density, and reliance on its NEVI allocation (approx. $27 million FY22-26) to establish a minimal viable network along its critical Interstate corridors (I-80, I-25, I-90). The Wyoming Department of Transportation (WYDOT) manages this plan. Private investment is virtually non-existent outside sparse population centers, and utility support is limited, making federal funding absolutely essential for enabling any long-distance EV travel.

Wyoming does not offer statewide EV purchase or charging incentives and has among the highest EV registration fees in the country. State policy focuses solely on administering the NEVI program. Immense challenges include extreme distances between potential sites, harsh weather conditions impacting reliability, very low traffic volumes affecting charger economics, limited grid capacity in many areas, minimal existing infrastructure, and the critical uncertainty created by the February 2025 suspension of the NEVI program.

Future plans for even a basic charging network are entirely contingent on the NEVI program's continuation and significant federal support. Building and sustaining charging infrastructure in Wyoming is arguably one of the most challenging scenarios in the US, requiring dedicated funding and strategies tailored to its unique geography and demographics."
